3000 8991
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 11 1
1 14 1
1 19 1
1 22 1
1 26 1
1 42 1
1 44 1
1 50 1
1 54 1
1 55 1
1 63 1
1 68 1
1 69 1
1 75 1
1 95 1
1 96 1
1 104 1
1 121 1
1 138 1
1 156 1
1 166 1
1 171 1
1 181 1
1 188 1
1 201 1
1 214 1
1 230 1
1 385 1
1 458 1
1 471 1
1 483 1
1 620 1
1 669 1
1 681 1
1 685 1
1 688 1
1 823 1
1 831 1
1 856 1
1 872 1
1 904 1
1 910 1
1 933 1
1 952 1
1 995 1
1 1001 1
1 1048 1
1 1236 1
1 1262 1
1 1604 1
1 1694 1
1 1739 1
1 1764 1
1 1859 1
1 1877 1
1 1931 1
1 1956 1
1 1960 1
1 1969 1
1 2015 1
1 2021 1
1 2037 1
1 2152 1
1 2171 1
1 2250 1
1 2333 1
1 2598 1
1 2662 1
1 2685 1
2 6 1
2 9 1
2 13 1
2 32 1
2 33 1
2 44 1
2 48 1
2 52 1
2 70 1
2 71 1
2 95 1
2 124 1
2 130 1
2 175 1
2 214 1
2 256 1
2 280 1
2 306 1
2 392 1
2 414 1
2 456 1
2 537 1
2 573 1
2 733 1
2 790 1
2 843 1
2 862 1
2 932 1
2 953 1
2 972 1
2 1032 1
2 1172 1
2 1189 1
2 1366 1
2 1387 1
2 1417 1
2 1493 1
2 1586 1
2 1622 1
2 1766 1
2 1854 1
2 1987 1
2 1999 1
2 2084 1
2 2135 1
2 2437 1
2 2450 1
2 2546 1
2 2604 1
2 2836 1
2 2870 1
2 2966 1
3 5 1
3 7 1
3 356 1
3 1535 1
3 1798 1
3 1841 1
4 5 1
4 14 1
4 15 1
4 19 1
4 20 1
4 28 1
4 30 1
4 35 1
4 37 1
4 45 1
4 47 1
4 51 1
4 66 1
4 76 1
4 79 1
4 82 1
4 87 1
4 97 1
4 113 1
4 120 1
4 139 1
4 160 1
4 235 1
4 242 1
4 265 1
4 275 1
4 295 1
4 319 1
4 349 1
4 365 1
4 370 1
4 398 1
4 412 1
4 423 1
4 425 1
4 427 1
4 433 1
4 457 1
4 486 1
4 523 1
4 593 1
4 638 1
4 650 1
4 666 1
4 706 1
4 715 1
4 795 1
4 884 1
4 928 1
4 954 1
4 1050 1
4 1076 1
4 1176 1
4 1187 1
4 1241 1
4 1251 1
4 1350 1
4 1354 1
4 1409 1
4 1428 1
4 1491 1
4 1534 1
4 1636 1
4 1673 1
4 1698 1
4 1767 1
4 1871 1
4 1875 1
4 2008 1
4 2264 1
4 2313 1
4 2360 1
4 2467 1
4 2524 1
4 2583 1
4 2645 1
4 2685 1
4 2856 1
4 2857 1
4 2952 1
4 2981 1
5 6 1
5 10 1
5 11 1
5 12 1
5 13 1
5 17 1
5 21 1
5 22 1
5 26 1
5 30 1
5 31 1
5 35 1
5 38 1
5 39 1
5 53 1
5 56 1
5 57 1
5 59 1
5 63 1
5 68 1
5 70 1
5 73 1
5 75 1
5 79 1
5 85 1
5 86 1
5 94 1
5 112 1
5 114 1
5 123 1
5 126 1
5 129 1
5 131 1
5 134 1
5 136 1
5 193 1
5 195 1
5 198 1
5 217 1
5 222 1
5 223 1
5 225 1
5 254 1
5 259 1
5 271 1
5 290 1
5 301 1
5 304 1
5 318 1
5 342 1
5 343 1
5 351 1
5 359 1
5 372 1
5 394 1
5 415 1
5 431 1
5 455 1
5 457 1
5 493 1
5 512 1
5 535 1
5 541 1
5 543 1
5 549 1
5 554 1
5 609 1
5 626 1
5 628 1
5 643 1
5 645 1
5 694 1
5 758 1
5 759 1
5 765 1
5 766 1
5 767 1
5 769 1
5 774 1
5 782 1
5 810 1
5 845 1
5 862 1
5 920 1
5 934 1
5 936 1
5 945 1
5 965 1
5 983 1
5 985 1
5 1007 1
5 1023 1
5 1084 1
5 1088 1
5 1110 1
5 1112 1
5 1138 1
5 1140 1
5 1157 1
5 1165 1
5 1174 1
5 1235 1
5 1291 1
5 1304 1
5 1305 1
5 1310 1
5 1311 1
5 1316 1
5 1317 1
5 1343 1
5 1353 1
5 1363 1
5 1365 1
5 1379 1
5 1389 1
5 1391 1
5 1396 1
5 1431 1
5 1454 1
5 1466 1
5 1468 1
5 1486 1
5 1509 1
5 1517 1
5 1518 1
5 1543 1
5 1551 1
5 1555 1
5 1557 1
5 1564 1
5 1571 1
5 1582 1
5 1611 1
5 1639 1
5 1640 1
5 1658 1
5 1659 1
5 1713 1
5 1738 1
5 1762 1
5 1783 1
5 1792 1
5 1808 1
5 1813 1
5 1849 1
5 1867 1
5 1871 1
5 1876 1
5 1882 1
5 1938 1
5 1949 1
5 1963 1
5 1984 1
5 1995 1
5 2031 1
5 2035 1
5 2064 1
5 2084 1
5 2088 1
5 2107 1
5 2119 1
5 2139 1
5 2205 1
5 2228 1
5 2242 1
5 2259 1
5 2279 1
5 2304 1
5 2320 1
5 2339 1
5 2369 1
5 2381 1
5 2446 1
5 2486 1
5 2491 1
5 2497 1
5 2502 1
5 2593 1
5 2594 1
5 2603 1
5 2615 1
5 2696 1
5 2719 1
5 2760 1
5 2762 1
5 2783 1
5 2795 1
5 2825 1
5 2848 1
5 2870 1
5 2886 1
5 2967 1
5 2972 1
6 7 1
6 8 1
6 9 1
6 10 1
6 12 1
6 16 1
6 17 1
6 18 1
6 19 1
6 21 1
6 24 1
6 25 1
6 32 1
6 34 1
6 39 1
6 45 1
6 57 1
6 72 1
6 73 1
6 80 1
6 81 1
6 84 1
6 86 1
6 87 1
6 92 1
6 105 1
6 106 1
6 145 1
6 146 1
6 152 1
6 160 1
6 187 1
6 191 1
6 192 1
6 211 1
6 247 1
6 251 1
6 260 1
6 265 1
6 268 1
6 269 1
6 282 1
6 297 1
6 311 1
6 332 1
6 344 1
6 365 1
6 374 1
6 378 1
6 411 1
6 438 1
6 443 1
6 453 1
6 468 1
6 505 1
6 525 1
6 528 1
6 530 1
6 539 1
6 610 1
6 661 1
6 665 1
6 685 1
6 716 1
6 717 1
6 746 1
6 752 1
6 753 1
6 760 1
6 805 1
6 818 1
6 819 1
6 832 1
6 884 1
6 901 1
6 944 1
6 945 1
6 979 1
6 982 1
6 1018 1
6 1047 1
6 1081 1
6 1085 1
6 1093 1
6 1103 1
6 1160 1
6 1254 1
6 1255 1
6 1281 1
6 1282 1
6 1283 1
6 1306 1
6 1318 1
6 1375 1
6 1410 1
6 1411 1
6 1420 1
6 1449 1
6 1461 1
6 1475 1
6 1535 1
6 1573 1
6 1577 1
6 1607 1
6 1642 1
6 1645 1
6 1651 1
6 1659 1
6 1660 1
6 1689 1
6 1726 1
6 1745 1
6 1821 1
6 1846 1
6 2019 1
6 2056 1
6 2063 1
6 2100 1
6 2278 1
6 2307 1
6 2342 1
6 2438 1
6 2622 1
6 2669 1
6 2691 1
6 2741 1
6 2816 1
6 2817 1
6 2863 1
6 2879 1
6 2880 1
6 2906 1
6 2912 1
6 2939 1
6 2958 1
7 8 1
7 9 1
7 12 1
7 13 1
7 14 1
7 25 1
7 27 1
7 29 1
7 40 1
7 41 1
7 44 1
7 46 1
7 47 1
7 52 1
7 58 1
7 65 1
7 67 1
7 77 1
7 78 1
7 84 1
7 92 1
7 94 1
7 100 1
7 108 1
7 115 1
7 119 1
7 120 1
7 135 1
7 140 1
7 144 1
7 170 1
7 179 1
7 189 1
7 192 1
7 193 1
7 200 1
7 201 1
7 250 1
7 264 1
7 282 1
7 291 1
7 306 1
7 315 1
7 316 1
7 318 1
7 325 1
7 335 1
7 345 1
7 347 1
7 363 1
7 368 1
7 384 1
7 388 1
7 403 1
7 408 1
7 419 1
7 425 1
7 435 1
7 447 1
7 461 1
7 462 1
7 490 1
7 492 1
7 525 1
7 554 1
7 576 1
7 600 1
7 644 1
7 655 1
7 666 1
7 673 1
7 735 1
7 791 1
7 796 1
7 798 1
7 811 1
7 833 1
7 889 1
7 890 1
7 952 1
7 955 1
7 979 1
7 986 1
7 990 1
7 991 1
7 1011 1
7 1109 1
7 1204 1
7 1246 1
7 1262 1
7 1273 1
7 1305 1
7 1336 1
7 1337 1
7 1403 1
7 1407 1
7 1429 1
7 1478 1
7 1506 1
7 1552 1
7 1562 1
7 1610 1
7 1630 1
7 1682 1
7 1720 1
7 1754 1
7 1774 1
7 1846 1
7 1868 1
7 1878 1
7 1892 1
7 1912 1
7 1935 1
7 1982 1
7 1984 1
7 1986 1
7 2021 1
7 2033 1
7 2101 1
7 2117 1
7 2176 1
7 2200 1
7 2203 1
7 2243 1
7 2245 1
7 2251 1
7 2257 1
7 2262 1
7 2273 1
7 2308 1
7 2371 1
7 2415 1
7 2425 1
7 2451 1
7 2500 1
7 2522 1
7 2526 1
7 2559 1
7 2586 1
7 2642 1
7 2653 1
7 2663 1
7 2717 1
7 2789 1
7 2877 1
7 2966 1
7 2981 1
7 2994 1
8 10 1
8 11 1
8 15 1
8 16 1
8 20 1
8 21 1
8 22 1
8 26 1
8 31 1
8 34 1
8 42 1
8 45 1
8 50 1
8 57 1
8 59 1
8 65 1
8 75 1
8 83 1
8 87 1
8 88 1
8 111 1
8 112 1
8 124 1
8 127 1
8 133 1
8 151 1
8 162 1
8 163 1
8 180 1
8 196 1
8 202 1
8 226 1
8 228 1
8 232 1
8 233 1
8 262 1
8 268 1
8 292 1
8 319 1
8 325 1
8 340 1
8 341 1
8 346 1
8 351 1
8 357 1
8 366 1
8 394 1
8 402 1
8 408 1
8 420 1
8 427 1
8 432 1
8 442 1
8 446 1
8 447 1
8 453 1
8 490 1
8 511 1
8 514 1
8 583 1
8 584 1
8 587 1
8 604 1
8 615 1
8 628 1
8 696 1
8 747 1
8 758 1
8 802 1
8 872 1
8 883 1
8 885 1
8 948 1
8 996 1
8 1009 1
8 1047 1
8 1066 1
8 1075 1
8 1115 1
8 1120 1
8 1128 1
8 1226 1
8 1250 1
8 1329 1
8 1335 1
8 1356 1
8 1363 1
8 1386 1
8 1403 1
8 1434 1
8 1458 1
8 1478 1
8 1482 1
8 1524 1
8 1525 1
8 1528 1
8 1550 1
8 1556 1
8 1563 1
8 1603 1
8 1620 1
8 1691 1
8 1702 1
8 1705 1
8 1768 1
8 1811 1
8 1852 1
8 1862 1
8 1916 1
8 1985 1
8 2013 1
8 2032 1
8 2044 1
8 2048 1
8 2059 1
8 2110 1
8 2156 1
8 2189 1
8 2248 1
8 2251 1
8 2357 1
8 2366 1
8 2400 1
8 2475 1
8 2577 1
8 2615 1
8 2668 1
8 2682 1
8 2702 1
8 2721 1
8 2726 1
8 2750 1
8 2776 1
8 2782 1
8 2823 1
8 2834 1
8 2891 1
8 2910 1
8 2975 1
8 2995 1
9 15 1
9 23 1
9 36 1
9 40 1
9 59 1
9 62 1
9 72 1
9 81 1
9 84 1
9 89 1
9 134 1
9 157 1
9 196 1
9 205 1
9 234 1
9 252 1
9 273 1
9 305 1
9 309 1
9 321 1
9 344 1
9 369 1
9 383 1
9 411 1
9 471 1
9 486 1
9 496 1
9 513 1
9 545 1
9 636 1
9 680 1
9 757 1
9 769 1
9 799 1
9 827 1
9 884 1
9 895 1
9 1089 1
9 1117 1
9 1146 1
9 1180 1
9 1183 1
9 1190 1
9 1212 1
9 1285 1
9 1319 1
9 1338 1
9 1342 1
9 1355 1
9 1362 1
9 1380 1
9 1386 1
9 1454 1
9 1504 1
9 1533 1
9 1601 1
9 1611 1
9 1692 1
9 1991 1
9 2022 1
9 2166 1
9 2176 1
9 2232 1
9 2242 1
9 2337 1
9 2351 1
9 2390 1
9 2453 1
9 2543 1
9 2628 1
9 2725 1
9 2791 1
9 2818 1
9 2830 1
9 2864 1
10 27 1
10 43 1
10 58 1
10 106 1
10 139 1
10 152 1
10 164 1
10 213 1
10 230 1
10 232 1
10 234 1
10 236 1
10 239 1
10 298 1
10 300 1
10 371 1
10 390 1
10 391 1
10 396 1
10 437 1
10 655 1
10 657 1
10 681 1
10 744 1
10 801 1
10 852 1
10 855 1
10 920 1
10 923 1
10 956 1
10 1014 1
10 1016 1
10 1125 1
10 1133 1
10 1168 1
10 1187 1
10 1286 1
10 1494 1
10 1546 1
10 1612 1
10 1916 1
10 1943 1
10 2001 1
10 2102 1
10 2349 1
10 2376 1
10 2658 1
10 2795 1
10 2831 1
10 2889 1
11 18 1
11 20 1
11 24 1
11 25 1
11 41 1
11 49 1
11 54 1
11 61 1
11 64 1
11 67 1
11 96 1
11 99 1
11 110 1
11 113 1
11 115 1
11 130 1
11 164 1
11 170 1
11 173 1
11 193 1
11 238 1
11 247 1
11 256 1
11 285 1
11 303 1
11 321 1
11 346 1
11 352 1
11 357 1
11 404 1
11 453 1
11 502 1
11 543 1
11 576 1
11 637 1
11 689 1
11 691 1
11 702 1
11 799 1
11 848 1
11 854 1
11 916 1
11 1232 1
11 1270 1
11 1295 1
11 1497 1
11 1684 1
11 1695 1
11 1718 1
11 1791 1
11 2061 1
11 2141 1
11 2174 1
11 2379 1
11 2409 1
11 2448 1
11 2663 1
11 2696 1
11 2704 1
11 3000 1
12 91 1
12 101 1
12 105 1
12 128 1
12 175 1
12 241 1
12 343 1
12 472 1
12 733 1
12 874 1
12 946 1
12 1301 1
12 1418 1
12 1642 1
12 1697 1
12 1753 1
12 2076 1
12 2196 1
12 2312 1
12 2963 1
13 16 1
13 23 1
13 30 1
13 47 1
13 48 1
13 51 1
13 52 1
13 56 1
13 69 1
13 98 1
13 99 1
13 100 1
13 102 1
13 129 1
13 137 1
13 144 1
13 149 1
13 151 1
13 155 1
13 175 1
13 204 1
13 207 1
13 219 1
13 260 1
13 263 1
13 267 1
13 268 1
13 278 1
13 293 1
13 327 1
13 345 1
13 426 1
13 452 1
13 465 1
13 494 1
13 495 1
13 517 1
13 546 1
13 569 1
13 591 1
13 656 1
13 665 1
13 678 1
13 694 1
13 701 1
13 712 1
13 725 1
13 727 1
13 762 1
13 835 1
13 836 1
13 875 1
13 876 1
13 959 1
13 966 1
13 986 1
13 1002 1
13 1101 1
13 1123 1
13 1193 1
13 1251 1
13 1267 1
13 1278 1
13 1337 1
13 1441 1
13 1567 1
13 1572 1
13 1614 1
13 1695 1
13 1746 1
13 1770 1
13 1808 1
13 1840 1
13 2035 1
13 2076 1
13 2091 1
13 2099 1
13 2109 1
13 2258 1
13 2263 1
13 2324 1
13 2525 1
13 2589 1
13 2599 1
13 2857 1
13 2960 1
13 2982 1
14 36 1
14 60 1
14 80 1
14 98 1
14 123 1
14 169 1
14 233 1
14 257 1
14 287 1
14 438 1
14 460 1
14 632 1
14 667 1
14 745 1
14 1003 1
14 1039 1
14 1293 1
14 1325 1
14 1333 1
14 1449 1
14 1517 1
14 1680 1
14 1766 1
14 1895 1
14 2416 1
14 2538 1
14 2792 1
15 17 1
15 18 1
15 28 1
15 31 1
15 33 1
15 49 1
15 60 1
15 88 1
15 104 1
15 116 1
15 150 1
15 158 1
15 220 1
15 224 1
15 248 1
15 269 1
15 332 1
15 498 1
15 605 1
15 861 1
15 1056 1
15 1202 1
15 1277 1
15 1350 1
15 1414 1
15 1424 1
15 1448 1
15 1472 1
15 1622 1
15 1686 1
15 1827 1
15 1836 1
15 1864 1
15 2010 1
15 2013 1
15 2109 1
15 2276 1
15 2296 1
15 2705 1
15 2824 1
16 90 1
16 114 1
16 115 1
16 135 1
16 178 1
16 184 1
16 527 1
16 535 1
16 656 1
16 831 1
16 969 1
16 1016 1
16 1164 1
16 1190 1
16 1193 1
16 1412 1
16 1525 1
16 1530 1
16 1750 1
16 1851 1
16 1955 1
16 2122 1
16 2343 1
16 2417 1
16 2842 1
16 2878 1
16 2931 1
17 23 1
17 29 1
17 49 1
17 54 1
17 62 1
17 67 1
17 103 1
17 107 1
17 117 1
17 122 1
17 127 1
17 136 1
17 164 1
17 233 1
17 340 1
17 353 1
17 503 1
17 562 1
17 605 1
17 617 1
17 647 1
