3000 6000
2397 2903 1
2397 707 1
2397 1764 1
2397 506 1
2903 552 1
2903 146 1
2903 2328 1
1182 1588 1
1182 134 1
1182 2519 1
1182 2950 1
1588 2138 1
1588 1047 1
1588 2226 1
308 795 1
308 224 1
308 47 1
308 2485 1
795 349 1
795 105 1
795 222 1
383 1383 1
383 2049 1
383 2470 1
383 830 1
1383 1612 1
1383 387 1
1383 599 1
1692 2333 1
1692 1009 1
1692 2865 1
1692 2052 1
2333 818 1
2333 2163 1
2333 454 1
966 1475 1
966 899 1
966 171 1
966 508 1
1475 309 1
1475 2112 1
1475 1417 1
1103 1709 1
1103 1643 1
1103 1809 1
1103 2897 1
1709 845 1
1709 478 1
1709 127 1
1217 1959 1
1217 2141 1
1217 961 1
1217 1407 1
1959 2800 1
1959 1673 1
1959 2191 1
310 1026 1
310 2908 1
310 1727 1
310 2516 1
1026 259 1
1026 1756 1
1026 2136 1
1466 2700 1
1466 2130 1
1466 1675 1
1466 2510 1
2700 2088 1
2700 2436 1
2700 996 1
1190 1304 1
1190 642 1
1190 2491 1
1190 412 1
1304 2803 1
1304 2147 1
1304 2005 1
711 1306 1
711 1847 1
711 2816 1
711 2554 1
1306 718 1
1306 2186 1
1306 1328 1
742 2605 1
742 2543 1
742 928 1
742 521 1
2605 1145 1
2605 791 1
2605 1339 1
217 1737 1
217 1284 1
217 439 1
217 2026 1
1737 700 1
1737 66 1
1737 2132 1
452 2543 1
452 2445 1
452 2572 1
452 889 1
2543 748 1
2543 1454 1
187 1040 1
187 298 1
187 1995 1
187 372 1
1040 1115 1
1040 2750 1
1040 84 1
2802 2965 1
2802 2734 1
2802 18 1
2802 2670 1
2965 199 1
2965 1387 1
2965 574 1
438 2379 1
438 2351 1
438 1033 1
438 2618 1
2379 1851 1
2379 1489 1
2379 44 1
1648 2532 1
1648 576 1
1648 981 1
1648 2460 1
2532 1715 1
2532 2986 1
2532 547 1
238 2964 1
238 1206 1
238 1824 1
238 874 1
2964 628 1
2964 841 1
2964 2785 1
1372 2893 1
1372 336 1
1372 2118 1
1372 1972 1
2893 2707 1
2893 2759 1
2893 558 1
1031 2600 1
1031 2273 1
1031 2433 1
1031 329 1
2600 2601 1
2600 2046 1
2600 1205 1
79 2382 1
79 24 1
79 1477 1
79 2576 1
2382 555 1
2382 2022 1
2382 129 1
1478 1599 1
1478 1299 1
1478 2470 1
1478 939 1
1599 1788 1
1599 1206 1
1599 280 1
590 908 1
590 1499 1
590 556 1
590 1333 1
908 2318 1
908 240 1
908 2258 1
828 965 1
828 283 1
828 2185 1
828 1830 1
965 2788 1
965 2467 1
965 1223 1
759 1094 1
759 584 1
759 2501 1
759 1050 1
1094 2301 1
1094 1370 1
1094 1819 1
855 1556 1
855 1320 1
855 2914 1
855 2155 1
1556 1434 1
1556 17 1
1556 2381 1
1775 2236 1
1775 970 1
1775 1035 1
1775 2431 1
2236 849 1
2236 237 1
2236 2431 1
135 220 1
135 2216 1
135 1063 1
135 1822 1
220 335 1
220 2241 1
220 117 1
434 745 1
434 627 1
434 6 1
434 1324 1
745 1078 1
745 1689 1
745 1181 1
1093 1613 1
1093 1986 1
1093 610 1
1093 1698 1
1613 499 1
1613 2347 1
1613 341 1
107 121 1
107 2217 1
107 2375 1
107 389 1
121 1562 1
121 1609 1
121 1657 1
638 1743 1
638 2029 1
638 2833 1
638 1021 1
1743 227 1
1743 441 1
1743 1856 1
1663 2934 1
1663 620 1
1663 885 1
1663 1885 1
2934 1231 1
2934 637 1
2934 235 1
1164 1264 1
1164 1829 1
1164 612 1
1164 517 1
1264 697 1
1264 415 1
1264 2246 1
1969 2186 1
1969 2740 1
1969 1287 1
1969 2261 1
2186 2253 1
2186 758 1
879 2034 1
879 730 1
879 2266 1
879 2463 1
2034 1473 1
2034 1412 1
2034 241 1
106 1330 1
106 2994 1
106 1995 1
106 2412 1
1330 2270 1
1330 812 1
1330 2423 1
2718 2984 1
2718 1602 1
2718 1200 1
2718 347 1
2984 2278 1
2984 2037 1
2984 1476 1
2410 2868 1
2410 2332 1
2410 1432 1
2410 165 1
2868 1502 1
2868 2251 1
2868 746 1
899 893 1
899 2317 1
899 1131 1
1195 1782 1
1195 1841 1
1195 1944 1
1195 1747 1
1782 1480 1
1782 2056 1
1782 588 1
570 1693 1
570 2623 1
570 272 1
570 1946 1
1693 1900 1
1693 751 1
1693 1507 1
2277 2460 1
2277 2162 1
2277 608 1
2277 1147 1
2460 1456 1
2460 2003 1
1950 2065 1
1950 595 1
1950 406 1
1950 2144 1
2065 2329 1
2065 2885 1
2065 359 1
869 979 1
869 1471 1
869 669 1
869 2825 1
979 1286 1
979 2067 1
979 2030 1
285 1682 1
285 1092 1
