3000 7500
222 792 1
222 1444 1
222 242 1
222 2766 1
222 191 1
792 2234 1
792 2236 1
792 991 1
792 1596 1
1225 2224 1
1225 1722 1
1225 1259 1
1225 1370 1
1225 1221 1
2224 1380 1
2224 806 1
2224 2239 1
2224 449 1
2327 2844 1
2327 1184 1
2327 1055 1
2327 2886 1
2327 318 1
2844 2194 1
2844 1847 1
2844 2616 1
2844 617 1
637 2431 1
637 1751 1
637 1607 1
637 2783 1
637 2578 1
2431 73 1
2431 2795 1
2431 1430 1
2431 2456 1
874 2640 1
874 1943 1
874 2440 1
874 521 1
874 2857 1
2640 220 1
2640 1717 1
2640 106 1
2640 2697 1
643 1953 1
643 768 1
643 1361 1
643 2773 1
643 1721 1
1953 1013 1
1953 1862 1
1953 1626 1
1953 1633 1
140 1103 1
140 786 1
140 699 1
140 520 1
140 2635 1
1103 1945 1
1103 446 1
1103 149 1
1103 2952 1
933 2200 1
933 1072 1
933 930 1
933 1827 1
933 1285 1
2200 1156 1
2200 1659 1
2200 1534 1
2200 394 1
321 626 1
321 1782 1
321 2886 1
321 195 1
321 2408 1
626 492 1
626 1588 1
626 2063 1
626 2534 1
1668 1831 1
1668 1816 1
1668 2544 1
1668 1237 1
1668 1122 1
1831 2865 1
1831 2075 1
1831 646 1
1831 1234 1
1162 1242 1
1162 1043 1
1162 126 1
1162 2418 1
1162 15 1
1242 1415 1
1242 1053 1
1242 1890 1
1242 1759 1
1647 2977 1
1647 2784 1
1647 691 1
1647 313 1
1647 1875 1
2977 1140 1
2977 2673 1
2977 164 1
2977 1150 1
1707 2762 1
1707 2499 1
1707 2476 1
1707 1517 1
1707 1192 1
2762 200 1
2762 482 1
2762 1649 1
2762 2375 1
2486 2500 1
2486 1913 1
2486 1643 1
2486 2241 1
2486 1267 1
2500 292 1
2500 1549 1
2500 2796 1
2500 1349 1
816 1507 1
816 2045 1
816 1523 1
816 2510 1
816 1264 1
1507 375 1
1507 1397 1
1507 1818 1
1507 2191 1
1325 1650 1
1325 2615 1
1325 579 1
1325 1695 1
1325 1479 1
1650 2017 1
1650 578 1
1650 2746 1
1650 1983 1
1481 2126 1
1481 1939 1
1481 1803 1
1481 1148 1
1481 1293 1
2126 2240 1
2126 664 1
2126 1396 1
2126 43 1
2107 2817 1
2107 2182 1
2107 305 1
2107 1815 1
2107 1217 1
2817 579 1
2817 453 1
2817 2694 1
2817 33 1
696 2085 1
696 1856 1
696 1095 1
696 294 1
696 2521 1
2085 1796 1
2085 2928 1
2085 262 1
2085 1369 1
